Harbor Name,Date,DissolvedOxygen,Salinity,PH
BRIDGEPORT,06/24/00,7.65,21.4,8.2
BRIDGEPORT,068/17/0,7.45,22.6,8.04
BRIDGEPORT,07/01/00,6.23,25.5,8.15
BRIDGEPORT,07/08/00,6.5,25.9,8.15
BRIDGEPORT,07/15/00,7.8,22.2,8.2
BRIDGEPORT,07/22/00,6.42,25.0,8.28
BRIDGEPORT,07/29/00,5.67,24.6,8.08
BRIDGEPORT,08/05/00,5.93,24.2,8.12
BRIDGEPORT,08/12/00,5.88,18.8,8.11
BRIDGEPORT,08/19/00,5.55,25.1,8.11
BRIDGEPORT,08/26/00,6.47,25.7,8.29
BRIDGEPORT,06/17/00,8.20,22.8,8.24
BRIDGEPORT,06/24/00,6.64,24.8,8.12
BRIDGEPORT,07/01/00,7.35,24.9,8.22
BRIDGEPORT,07/08/00,6.39,25.9,8.09
BRIDGEPORT,07/18/00,8.5,22.8,8.3
BRIDGEPORT,07/22/00,5.94,24.2,8.2
BRIDGEPORT,07/29/00,5.32,23.8,7.94
BRIDGEPORT,08/05/00,5.34,23.9,8.00
BRIDGEPORT,08/12/00,6.33,19.8,8.13
BRIDGEPORT,08/19/00,4.62,24.9,7.91
BRIDGEPORT,08/26/00,6.91,25.1,8.31
BRIDGEPORT,06/17/00,7.45,22.2,8.14
BRIDGEPORT,06/24/00,7.82,24.0,8.25
BRIDGEPORT,07/01/00,7.00,24.4,8.2
BRIDGEPORT,07/08/00,6.61,25.8,8.12
BRIDGEPORT,07/18/00,8.7,22.7,8.3
BRIDGEPORT,07/22/00,7.77,24.2,8.38
BRIDGEPORT,07/29/00,5.00,23.9,7.89
BRIDGEPORT,08/12/00,6.48,20.4,8.22
BRIDGEPORT,08/19/00,5.39,24.9,8.06
BRIDGEPORT,08/26/00,7.36,24.9,8.41
BRIDGEPORT,08/31/00,6.4,23.6,8.11
BRIDGEPORT,06/21/00,6.86,20.5,8.0
BRIDGEPORT,06/24/00,7.78,22.8,8.11
BRIDGEPORT,07/01/00,6.03,24.8,8.11
BRIDGEPORT,07/08/00,5.23,24.9,7.99
BRIDGEPORT,07/18/00,5.8,21.7,8.0
BRIDGEPORT,07/22/00,5.83,24.9,8.14
BRIDGEPORT,07/29/00,5.27,22.7,7.9
BRIDGEPORT,08/05/00,3.74,23.2,7.82
BRIDGEPORT,08/12/00,5.6,16.4,8.03
BRIDGEPORT,08/19/00,3.87,23.8,7.88
BRIDGEPORT,08/26/00,6.22,25.0,8.19
BRIDGEPORT,06/17/00,7.65,21.4,8.14
BRIDGEPORT,06/24/00,8.65,23.1,8.36
BRIDGEPORT,07/08/00,6.01,25.8,8.04
BRIDGEPORT,07/11/00,7.92,24.5,8.34
BRIDGEPORT,07/18/00,10.2,17.3,8.4
BRIDGEPORT,07/25/00,7.4,24.6,8.39
BRIDGEPORT,07/29/00,5.02,23.1,7.91
BRIDGEPORT,08/05/00,4.79,23.3,8.00
BRIDGEPORT,08/18/00,6.84,18.5,8.18
BRIDGEPORT,08/19/00,4.75,24.4,7.98
BRIDGEPORT,08/26/00,7.44,24.7,8.33
BRIDGEPORT,06/17/00,8.23,22.9,8.2
BRIDGEPORT,06/54/00,8.76,23.3,8.35
BRIDGEPORT,07/01/00,6.76,24.7,8.15
BRIDGEPORT,07/08/00,6.09,25.8,8.08
BRIDGEPORT,07/18/00,9.3,22.0,8.3
BRIDGEPORT,07/22/00,8.3,24.5,8.45
BRIDGEPORT,07/29/00,4.33,23.8,7.87
BRIDGEPORT,08/05/00,5.76,23.5,8.09
BRIDGEPORT,08/12/00,6.21,17.0,8.04
BRIDGEPORT,08/19/00,4.64,24.6,8.01
BRIDGEPORT,08/26/00,8.05,24.7,8.37
