Name,Damage,Year,Category
Betsy,1.42,1965,Category 4 hurricane
Camille,1.42,1969,Category 5 hurricane
Agnes,2.1,1972,Category 1 hurricane
Fifi,1.8,1974,Category 2 hurricane
Frederic,1.77,1979,Category 4 hurricane
David,1.54,1979,Category 5 hurricane
Allen,1.57,1980,Category 5 hurricane
Alicia,3,1983,Category 3 hurricane
Juan ,1.5,1985,Category 1 hurricane
Elena,1.3,1985,Category 3 hurricane
Gilbert,2.98,1988,Category 5 hurricane
Joan,1.87,1988,Category 4 hurricane
Hugo,9.47,1989,Category 5 hurricane
Bob,1.5,1991,Category 3 hurricane
Andrew,27.3,1992,Category 5 hurricane
Alberto ,1.03,1994,Tropical storm
Luis,2.97,1995,Category 4 hurricane
Marilyn,2.1,1995,Category 3 hurricane
Roxanne,1.5,1995,Category 3 hurricane
Opal,4.7,1995,Category 4 hurricane
Fran,5,1996,Category 3 hurricane
Georges,13.9,1998,Category 4 hurricane
Mitch,6.08,1998,Category 5 hurricane
Bonnie ,1,1998,Category 3 hurricane
Floyd,6.5,1999,Category 4 hurricane
Allison,8.5,2001,Tropical storm
Michelle,2.35,2001,Category 4 hurricane
Isidore,1.28,2002,Category 3 hurricane
Lili,1.16,2002,Category 4 hurricane
Isabel,5.5,2003,Category 5 hurricane
Jeanne,7.94,2004,Category 3 hurricane
Frances,10.1,2004,Category 4 hurricane
Ivan,26.1,2004,Category 5 hurricane
Charley,16.9,2004,Category 4 hurricane
Stan,3.96,2005,Category 1 hurricane
Dennis,3.98,2005,Category 4 hurricane
Emily ,1.01,2005,Category 5 hurricane
Rita,18.5,2005,Category 5 hurricane
Wilma,27.4,2005,Category 5 hurricane
Katrina,125,2005,Category 5 hurricane
Dean,1.95,2007,Category 5 hurricane
Gustav,8.31,2008,Category 4 hurricane
Dolly ,1.6,2008,Category 2 hurricane
Ike,38,2008,Category 4 hurricane
Karl ,3.9,2010,Category 3 hurricane
Alex ,1.52,2010,Category 2 hurricane
Lee ,2.8,2011,Tropical storm
Irene,14.2,2011,Category 3 hurricane
Isaac ,3.11,2012,Category 1 hurricane
Sandy,68.7,2012,Category 3 hurricane
Ingrid,1.5,2013,Category 1 hurricane
Matthew,16.5,2016,Category 5 hurricane
Maria,90,2017,Category 5 hurricane
Irma,77.2,2017,Category 5 hurricane
Harvey,125,2017,Category 4 hurricane
Michael,25.1,2018,Category 5 hurricane
Florence,24.2,2018,Category 4 hurricane
Dorian ,5.07,2019,Category 5 hurricane
Imelda ,5,2019,Tropical storm
Laura,8.9,2020,Category 4 hurricane
Isaias,4.2,2020,Category 1 hurricane
