"","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","ActivityLocation.LatitudeMeasure","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionMethod.MethodDescriptionText","SampleCollectionEquipmentName","ResultIdentifier","ResultDetectionConditionText","MethodSpeciationName","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultCommentText","USGSPCode","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","ResultAnalyticalMethod.MethodUrl","ResultAnalyticalMethod.MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","ResultDetectionQuantitationLimitUrl","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode"
"280001","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097900","",NA,"Nitrite","Dissolved","0.056","mg/l as N",NA,"Accepted","","Actual","","","","",613,"CL041","USGS","Nutrients, wf, colorimetric",NA,"USGS OF 93-125, p 143","","","",NA,"",NA,""
"280002","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097901","",NA,"Nitrate","Dissolved","5.15","mg/l as N",NA,"Accepted","","Actual","","","","",618,"ALGOR","USGS","Computation by NWIS algorithm",NA,"NWIS User's Manual, QW System, Section 3.6.7","","","",NA,"",NA,""
"280003","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097902","",NA,"Kjeldahl nitrogen","Dissolved","0.62","mg/l as N",NA,"Accepted","","Actual","","","","",623,"KJ002","USGS","NH3+org-N, wf, FCC, Kjeldahl, CF",NA,"USGS OF 00-170","","","",NA,"",NA,""
"280004","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097903","",NA,"Kjeldahl nitrogen","Total","0.77","mg/l as N",NA,"Accepted","","Actual","","","","",625,"KJ008","USGS","NH3+org-N, wu, WCA, Kjeldahl, CF",NA,"USGS OF 00-170","","","",NA,"",NA,""
"280005","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097904","",NA,"Inorganic nitrogen (nitrate and nitrite)","Dissolved","5.2","mg/l as N",NA,"Accepted","","Actual","","","","",631,"CL048","USGS","Nutrients, wf, Cd reduct, color",NA,"USGS OF 93-125, p 157","","","",NA,"",NA,""
"280006","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097905","",NA,"Orthophosphate","Dissolved","2.97","mg/l asPO4",NA,"Accepted","","Actual","","","","",660,"ALGOR","USGS","Computation by NWIS algorithm",NA,"NWIS User's Manual, QW System, Section 3.6.7","","","",NA,"",NA,""
"280007","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097906","",NA,"Phosphorus","Total","1.04","mg/l as P",NA,"Accepted","","Actual","","","","",665,"KJ009","USGS","Phosphorus, wu, microKJ ASF, H+",NA,"USGS OF 92-146","","","",NA,"",NA,""
"280008","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097907","",NA,"Phosphorus","Dissolved","1.03","mg/l as P",NA,"Accepted","","Actual","","","","",666,"KJ005","USGS","P, wf, FCC, Kjeldahl, CF",NA,"USGS OF 92-146","","","",NA,"",NA,""
"280009","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097908","",NA,"Orthophosphate","Dissolved","0.97","mg/l as P",NA,"Accepted","","Actual","","","","",671,"CL053","USGS","Nutrients, wf, phosphomolybdate",NA,"USGS OF 93-125, p 197","","","",NA,"",NA,""
"280010","Sample-Routine","Water","Surface Water","9/18/2001","9:25:00","EST","U.S. Geological Survey-Water Resources Discipline","USGS-01189030","","","Stable, low stage","Routine sample",NA,"10","USGS parameter code 82398","Equal width increment (ewi)",NA,"US DH-81","NWIS-66097909","",NA,"Organic carbon","Total","5.7","mg/l",NA,"Accepted","","Actual","","","","",680,"OX009","USGS","TOC, wet oxidation",NA,"USGS TWRI 5-A3/1987, p 15","","","",NA,"",NA,""
